Point Index,Radiation (kWh/mÂ²),Time
1,0.66,00:00.0
2,2.31,01:05.7
3,2.24,02:11.4
4,2.24,03:17.1
5,2.24,04:22.8
6,2.24,05:28.6
7,2.24,06:34.3
8,2.24,07:40.0
9,2.24,08:45.7
10,2.24,09:51.4
11,2.19,10:57.1
12,1.76,12:02.8
13,1.76,13:08.5
14,1.76,14:14.2
15,1.76,15:19.9
16,1.76,16:25.7
17,1.76,17:31.4
18,1.76,18:37.1
19,1.76,19:42.8
20,1.76,20:48.5
21,0.94,21:54.2
22,1.53,22:59.9
23,2.24,24:05.6
24,2.24,25:11.3
25,2.24,26:17.1
26,2.24,27:22.8
27,2.24,28:28.5
28,2.24,29:34.2
29,2.25,30:39.9
30,2.24,31:45.6
31,2.15,32:51.3
32,1.76,33:57.0
33,1.76,35:02.7
34,1.76,36:08.4
35,1.76,37:14.2
36,1.76,38:19.9
37,1.76,39:25.6
38,1.76,40:31.3
39,1.76,41:37.0
40,1.76,42:42.7
41,0.85,43:48.4
42,1.66,44:54.1
43,2.24,45:59.8
44,2.24,47:05.6
45,2.24,48:11.3
46,2.24,49:17.0
47,2.24,50:22.7
48,2.24,51:28.4
49,2.25,52:34.1
50,2.24,53:39.8
51,2.11,54:45.5
52,1.76,55:51.2
53,1.76,56:56.9
54,1.76,58:02.7
55,1.76,59:08.4
56,1.76,00:14.1
57,1.76,01:19.8
58,1.76,02:25.5
59,1.76,03:31.2
60,1.76,04:36.9
61,0.76,05:42.6
62,1.79,06:48.3
63,2.24,07:54.1
64,2.24,08:59.8
65,2.24,10:05.5
66,2.24,11:11.2
67,2.24,12:16.9
68,2.25,13:22.6
69,2.25,14:28.3
70,2.24,15:34.0
71,2.08,16:39.7
72,1.76,17:45.4
73,1.76,18:51.2
74,1.76,19:56.9
75,1.76,21:02.6
76,1.76,22:08.3
77,1.76,23:14.0
78,1.76,24:19.7
79,1.76,25:25.4
80,1.76,26:31.1
81,0.75,27:36.8
82,1.39,28:42.6
83,2.24,29:48.3
84,2.24,30:54.0
85,2.24,31:59.7
86,2.24,33:05.4
87,2.24,34:11.1
88,2.24,35:16.8
89,2.25,36:22.5
90,2.24,37:28.2
91,2.2,38:33.9
92,1.76,39:39.7
93,1.76,40:45.4
94,1.76,41:51.1
95,1.76,42:56.8
96,1.76,44:02.5
97,1.76,45:08.2
98,1.76,46:13.9
99,1.76,47:19.6
100,1.76,48:25.3
101,2.53,49:31.1
102,2.24,50:36.8
103,2.24,51:42.5
104,2.24,52:48.2
105,2.24,53:53.9
106,2.24,54:59.6
107,2.24,56:05.3
108,2.24,57:11.0
109,2.24,58:16.7
110,2.22,59:22.5
111,1.76,00:28.2
112,1.76,01:33.9
113,1.76,02:39.6
114,1.76,03:45.3
115,1.76,04:51.0
116,1.76,05:56.7
117,1.76,07:02.4
118,1.76,08:08.1
119,1.76,09:13.8
120,2.1,10:19.6
121,2.24,11:25.3
122,2.24,12:31.0
123,2.24,13:36.7
124,2.24,14:42.4
125,2.24,15:48.1
126,2.25,16:53.8
127,2.25,17:59.5
128,2.24,19:05.2
129,2.09,20:11.0
130,1.76,21:16.7
131,1.76,22:22.4
132,1.76,23:28.1
133,1.76,24:33.8
134,1.76,25:39.5
135,1.76,26:45.2
136,1.76,27:50.9
137,1.76,28:56.6
138,1.76,30:02.3
139,2.23,31:08.1
140,2.24,32:13.8
141,2.24,33:19.5
142,2.24,34:25.2
143,2.24,35:30.9
144,2.24,36:36.6
145,2.25,37:42.3
146,2.24,38:48.0
147,2.24,39:53.7
148,1.95,40:59.5
149,1.76,42:05.2
150,1.76,43:10.9
151,1.76,44:16.6
152,1.76,45:22.3
153,1.76,46:28.0
154,1.76,47:33.7
155,1.76,48:39.4
156,1.76,49:45.1
157,1.88,50:50.8
158,2.24,51:56.6
159,2.24,53:02.3
160,2.24,54:08.0
161,2.24,55:13.7
162,2.24,56:19.4
163,2.24,57:25.1
164,2.25,58:30.8
165,2.24,59:36.5
166,2.24,00:42.2
167,1.82,01:48.0
168,1.76,02:53.7
169,1.76,03:59.4
170,1.76,05:05.1
171,1.76,06:10.8
172,1.76,07:16.5
173,1.76,08:22.2
174,1.76,09:27.9
175,1.76,10:33.6
176,1.57,11:39.3
177,2.24,12:45.1
178,2.24,13:50.8
179,2.24,14:56.5
180,2.24,16:02.2
181,2.24,17:07.9
182,2.24,18:13.6
183,2.25,19:19.3
184,2.24,20:25.0
185,2.24,21:30.7
186,1.84,22:36.5
187,1.76,23:42.2
188,1.76,24:47.9
189,1.76,25:53.6
190,1.76,26:59.3
191,1.76,28:05.0
192,1.76,29:10.7
193,1.76,30:16.4
194,1.76,31:22.1
195,2.41,32:27.8
196,2.24,33:33.6
197,2.24,34:39.3
198,2.24,35:45.0
199,2.24,36:50.7
200,2.24,37:56.4
201,2.24,39:02.1
202,2.24,40:07.8
203,2.24,41:13.5
204,2.24,42:19.2
205,1.86,43:25.0
206,1.76,44:30.7
207,1.76,45:36.4
208,1.76,46:42.1
209,1.76,47:47.8
210,1.76,48:53.5
211,1.76,49:59.2
212,1.76,51:04.9
213,1.76,52:10.6
214,1.97,53:16.3
215,2.24,54:22.1
216,2.24,55:27.8
217,2.24,56:33.5
218,2.24,57:39.2
219,2.24,58:44.9
220,2.24,59:50.6
221,2.25,00:56.3
222,2.24,02:02.0
223,2.21,03:07.7
224,1.76,04:13.5
225,1.76,05:19.2
226,1.76,06:24.9
227,1.76,07:30.6
228,1.76,08:36.3
229,1.76,09:42.0
230,1.76,10:47.7
231,1.76,11:53.4
232,1.76,12:59.1
233,2.1,14:04.8
234,2.24,15:10.6
235,2.24,16:16.3
236,2.24,17:22.0
237,2.24,18:27.7
238,2.24,19:33.4
239,2.25,20:39.1
240,2.25,21:44.8
241,2.24,22:50.5
242,2.08,23:56.2
243,1.76,25:02.0
244,1.76,26:07.7
245,1.76,27:13.4
246,1.76,28:19.1
247,1.76,29:24.8
248,1.76,30:30.5
249,1.76,31:36.2
250,1.76,32:41.9
251,1.76,33:47.6
252,2.24,34:53.4
253,2.24,35:59.1
254,2.24,37:04.8
255,2.24,38:10.5
256,2.24,39:16.2
257,2.24,40:21.9
258,2.25,41:27.6
259,2.24,42:33.3
260,2.24,43:39.0
261,1.94,44:44.7
262,1.76,45:50.5
263,1.76,46:56.2
264,1.76,48:01.9
265,1.76,49:07.6
266,1.76,50:13.3
267,1.76,51:19.0
268,1.76,52:24.7
269,1.76,53:30.4
270,1.53,54:36.1
271,2.16,55:41.9
272,2.24,56:47.6
273,2.24,57:53.3
274,2.24,58:59.0
275,2.24,00:04.7
276,2.24,01:10.4
277,2.25,02:16.1
278,2.24,03:21.8
279,2.24,04:27.5
280,1.96,05:33.2
281,1.76,06:39.0
282,1.76,07:44.7
283,1.76,08:50.4
284,1.76,09:56.1
285,1.76,11:01.8
286,1.76,12:07.5
287,1.76,13:13.2
288,1.76,14:18.9
289,2.14,15:24.6
290,2.38,16:30.4
291,2.24,17:36.1
292,2.24,18:41.8
293,2.24,19:47.5
294,2.24,20:53.2
295,2.24,21:58.9
296,2.24,23:04.6
297,2.24,24:10.3
298,2.24,25:16.0
299,1.99,26:21.7
300,1.76,27:27.5
301,1.76,28:33.2
302,1.76,29:38.9
303,1.76,30:44.6
304,1.76,31:50.3
305,1.76,32:56.0
306,1.76,34:01.7
307,1.76,35:07.4
308,1.84,36:13.1
309,2.24,37:18.9
310,2.24,38:24.6
311,2.24,39:30.3
312,2.24,40:36.0
313,2.24,41:41.7
314,2.24,42:47.4
315,2.25,43:53.1
316,2.24,44:58.8
317,2.24,46:04.5
318,1.85,47:10.2
319,1.76,48:16.0
320,1.76,49:21.7
321,1.76,50:27.4
322,1.76,51:33.1
323,1.76,52:38.8
324,1.76,53:44.5
325,1.76,54:50.2
326,1.76,55:55.9
327,1.98,57:01.6
328,2.24,58:07.4
329,2.24,59:13.1
330,2.24,00:18.8
331,2.24,01:24.5
332,2.24,02:30.2
333,2.24,03:35.9
334,2.25,04:41.6
335,2.24,05:47.3
336,2.2,06:53.0
337,1.76,07:58.7
338,1.76,09:04.5
339,1.76,10:10.2
340,1.76,11:15.9
341,1.76,12:21.6
342,1.76,13:27.3
343,1.76,14:33.0
344,1.76,15:38.7
345,1.76,16:44.4
346,2.11,17:50.1
347,2.24,18:55.9
348,2.24,20:01.6
349,2.24,21:07.3
350,2.24,22:13.0
351,2.24,23:18.7
352,2.25,24:24.4
353,2.25,25:30.1
354,2.24,26:35.8
355,2.07,27:41.5
356,1.76,28:47.2
357,1.76,29:53.0
358,1.76,30:58.7
359,1.76,32:04.4
360,1.76,33:10.1
361,1.76,34:15.8
362,1.76,35:21.5
363,1.76,36:27.2
364,1.75,37:32.9
365,1.81,38:38.6
366,2.24,39:44.4
367,2.24,40:50.1
368,2.24,41:55.8
369,2.24,43:01.5
370,2.24,44:07.2
371,2.25,45:12.9
372,2.25,46:18.6
373,2.24,47:24.3
374,2.09,48:30.0
375,1.76,49:35.7
376,1.76,50:41.5
377,1.76,51:47.2
378,1.76,52:52.9
379,1.76,53:58.6
380,1.76,55:04.3
381,1.76,56:10.0
382,1.76,57:15.7
383,1.76,58:21.4
384,2.65,59:27.1
385,2.24,00:32.9
386,2.24,01:38.6
387,2.24,02:44.3
388,2.24,03:50.0
389,2.24,04:55.7
390,2.24,06:01.4
391,2.24,07:07.1
392,2.24,08:12.8
393,2.12,09:18.5
394,1.76,10:24.2
395,1.76,11:30.0
396,1.76,12:35.7
397,1.76,13:41.4
398,1.76,14:47.1
399,1.76,15:52.8
400,1.76,16:58.5
401,1.76,18:04.2
402,1.76,19:09.9
403,2.2,20:15.6
404,2.24,21:21.4
405,2.24,22:27.1
406,2.24,23:32.8
407,2.24,24:38.5
408,2.24,25:44.2
409,2.25,26:49.9
410,2.25,27:55.6
411,2.24,29:01.3
412,1.98,30:07.0
413,1.76,31:12.8
414,1.76,32:18.5
415,1.76,33:24.2
416,1.76,34:29.9
417,1.76,35:35.6
418,1.76,36:41.3
419,1.76,37:47.0
420,1.76,38:52.7
421,1.85,39:58.4
422,2.24,41:04.1
423,2.24,42:09.9
424,2.24,43:15.6
425,2.24,44:21.3
426,2.24,45:27.0
427,2.24,46:32.7
428,2.25,47:38.4
429,2.24,48:44.1
430,2.24,49:49.8
431,1.85,50:55.5
432,1.76,52:01.3
433,1.76,53:07.0
434,1.76,54:12.7
435,1.76,55:18.4
436,1.76,56:24.1
437,1.76,57:29.8
438,1.76,58:35.5
439,1.76,59:41.2
440,1.98,00:46.9
441,2.24,01:52.6
442,2.24,02:58.4
443,2.24,04:04.1
444,2.24,05:09.8
445,2.24,06:15.5
446,2.24,07:21.2
447,2.25,08:26.9
448,2.24,09:32.6
449,2.2,10:38.3
450,1.76,11:44.0
451,1.76,12:49.8
452,1.76,13:55.5
453,1.76,15:01.2
454,1.76,16:06.9
455,1.76,17:12.6
456,1.76,18:18.3
457,1.76,19:24.0
458,1.76,20:29.7
459,1.67,21:35.4
460,2.24,22:41.1
461,2.24,23:46.9
462,2.24,24:52.6
463,2.24,25:58.3
464,2.24,27:04.0
465,2.24,28:09.7
466,2.25,29:15.4
467,2.24,30:21.1
468,2.22,31:26.8
469,1.76,32:32.5
470,1.76,33:38.3
471,1.76,34:44.0
472,1.76,35:49.7
473,1.76,36:55.4
474,1.76,38:01.1
475,1.76,39:06.8
476,1.76,40:12.5
477,1.76,41:18.2
478,2.51,42:23.9
479,2.24,43:29.6
480,2.24,44:35.4
481,2.24,45:41.1
482,2.24,46:46.8
483,2.24,47:52.5
484,2.24,48:58.2
485,2.24,50:03.9
486,2.24,51:09.6
487,2.24,52:15.3
488,1.76,53:21.0
489,1.76,54:26.8
490,1.76,55:32.5
491,1.76,56:38.2
492,1.76,57:43.9
493,1.76,58:49.6
494,1.76,59:55.3
495,1.76,01:01.0
496,1.76,02:06.7
497,2.07,03:12.4
498,2.24,04:18.1
499,2.24,05:23.9
500,2.24,06:29.6
501,2.24,07:35.3
502,2.24,08:41.0
503,2.24,09:46.7
504,2.25,10:52.4
505,2.24,11:58.1
506,2.11,13:03.8
507,1.76,14:09.5
508,1.76,15:15.3
509,1.76,16:21.0
510,1.76,17:26.7
511,1.76,18:32.4
512,1.76,19:38.1
513,1.76,20:43.8
514,1.76,21:49.5
515,1.76,22:55.2
516,2.21,24:00.9
517,2.24,25:06.6
518,2.24,26:12.4
519,2.24,27:18.1
520,2.24,28:23.8
521,2.24,29:29.5
522,2.25,30:35.2
523,2.25,31:40.9
524,2.24,32:46.6
525,1.97,33:52.3
526,1.76,34:58.0
527,1.76,36:03.8
528,1.76,37:09.5
529,1.76,38:15.2
530,1.76,39:20.9
531,1.76,40:26.6
532,1.76,41:32.3
533,1.76,42:38.0
534,1.86,43:43.7
535,2.24,44:49.4
536,2.24,45:55.1
537,2.24,47:00.9
538,2.24,48:06.6
539,2.24,49:12.3
540,2.24,50:18.0
541,2.25,51:23.7
542,2.24,52:29.4
543,2.24,53:35.1
544,1.84,54:40.8
545,1.76,55:46.5
546,1.76,56:52.3
547,1.76,57:58.0
548,1.76,59:03.7
549,1.76,00:09.4
550,1.76,01:15.1
551,1.76,02:20.8
552,1.76,03:26.5
553,1.55,04:32.2
554,2.24,05:37.9
555,2.24,06:43.7
556,2.24,07:49.4
557,2.24,08:55.1
558,2.24,10:00.8
559,2.24,11:06.5
560,2.25,12:12.2
561,2.24,13:17.9
562,2.24,14:23.6
563,1.86,15:29.3
564,1.76,16:35.0
565,1.76,17:40.8
566,1.76,18:46.5
567,1.76,19:52.2
568,1.76,20:57.9
569,1.76,22:03.6
570,1.76,23:09.3
571,1.76,24:15.0
572,2.38,25:20.7
573,2.24,26:26.4
574,2.24,27:32.2
575,2.24,28:37.9
576,2.24,29:43.6
577,2.24,30:49.3
578,2.24,31:55.0
579,2.24,33:00.7
580,2.24,34:06.4
581,2.24,35:12.1
582,1.89,36:17.8
583,1.76,37:23.5
584,1.76,38:29.3
585,1.76,39:35.0
586,1.76,40:40.7
587,1.76,41:46.4
588,1.76,42:52.1
589,1.76,43:57.8
590,1.76,45:03.5
591,1.95,46:09.2
592,2.24,47:14.9
593,2.24,48:20.7
594,2.24,49:26.4
595,2.24,50:32.1
596,2.24,51:37.8
597,2.24,52:43.5
598,2.25,53:49.2
599,2.24,54:54.9
600,2.24,56:00.6
601,1.76,57:06.3
602,1.76,58:12.0
603,1.76,59:17.8
604,1.76,00:23.5
605,1.76,01:29.2
606,1.76,02:34.9
607,1.76,03:40.6
608,1.76,04:46.3
609,1.76,05:52.0
610,2.08,06:57.7
611,2.24,08:03.4
612,2.24,09:09.2
613,2.24,10:14.9
614,2.24,11:20.6
615,2.24,12:26.3
616,2.24,13:32.0
617,2.25,14:37.7
618,2.24,15:43.4
619,2.1,16:49.1
620,1.76,17:54.8
621,1.76,19:00.5
622,1.76,20:06.3
623,1.76,21:12.0
624,1.76,22:17.7
625,1.76,23:23.4
626,1.76,24:29.1
627,1.76,25:34.8
628,1.76,26:40.5
629,2.22,27:46.2
630,2.24,28:51.9
631,2.24,29:57.7
632,2.24,31:03.4
633,2.24,32:09.1
634,2.24,33:14.8
635,2.25,34:20.5
636,2.24,35:26.2
637,2.24,36:31.9
638,1.96,37:37.6
639,1.76,38:43.3
640,1.76,39:49.0
641,1.76,40:54.8
642,1.76,42:00.5
643,1.76,43:06.2
644,1.76,44:11.9
645,1.76,45:17.6
646,1.76,46:23.3
647,1.57,47:29.0
648,2.1,48:34.7
649,2.24,49:40.4
650,2.24,50:46.2
651,2.24,51:51.9
652,2.24,52:57.6
653,2.24,54:03.3
654,2.25,55:09.0
655,2.25,56:14.7
656,2.24,57:20.4
657,1.99,58:26.1
658,1.76,59:31.8
659,1.76,00:37.5
660,1.76,01:43.3
661,1.76,02:49.0
662,1.76,03:54.7
663,1.76,05:00.4
664,1.76,06:06.1
665,1.76,07:11.8
666,1.99,08:17.5
667,3.13,09:23.2
668,2.69,10:28.9
669,2.24,11:34.7
670,2.24,12:40.4
671,2.24,13:46.1
672,2.24,14:51.8
673,2.24,15:57.5
674,2.24,17:03.2
675,2.24,18:08.9
676,2.24,19:14.6
677,2.11,20:20.3
678,1.76,21:26.0
679,1.76,22:31.8
680,1.76,23:37.5
681,1.76,24:43.2
682,1.76,25:48.9
683,1.76,26:54.6
684,1.76,28:00.3
685,1.76,29:06.0
686,1.76,30:11.7
687,3.01,31:17.4
688,2.51,32:23.2
689,2.24,33:28.9
690,2.24,34:34.6
691,2.24,35:40.3
692,2.24,36:46.0
693,2.24,37:51.7
694,2.25,38:57.4
695,2.25,40:03.1
696,2.24,41:08.8
697,2.08,42:14.5
698,1.76,43:20.3
699,1.76,44:26.0
700,1.76,45:31.7
701,1.76,46:37.4
702,1.76,47:43.1
703,1.76,48:48.8
704,1.76,49:54.5
705,1.76,51:00.2
706,1.76,52:05.9
707,3.1,53:11.7
708,2.45,54:17.4
709,2.24,55:23.1
710,2.24,56:28.8
711,2.24,57:34.5
712,2.24,58:40.2
713,2.24,59:45.9
714,2.25,00:51.6
715,2.25,01:57.3
716,2.24,03:03.1
717,2.05,04:08.8
718,1.76,05:14.5
719,1.76,06:20.2
720,1.76,07:25.9
721,1.76,08:31.6
722,1.76,09:37.3
723,1.76,10:43.0
724,1.76,11:48.7
725,1.76,12:54.4
726,1.83,14:00.2
727,3.13,15:05.9
728,2.39,16:11.6
729,2.24,17:17.3
730,2.24,18:23.0
731,2.24,19:28.7
732,2.24,20:34.4
733,2.24,21:40.1
734,2.25,22:45.8
735,2.25,23:51.6
736,2.24,24:57.3
737,2.01,26:03.0
738,1.76,27:08.7
739,1.76,28:14.4
740,1.76,29:20.1
741,1.76,30:25.8
742,1.76,31:31.5
743,1.76,32:37.2
744,1.76,33:42.9
745,1.76,34:48.7
746,1.93,35:54.4
747,3.13,37:00.1
748,1.88,38:05.8
749,2.24,39:11.5
750,2.24,40:17.2
751,2.24,41:22.9
752,2.24,42:28.6
753,2.24,43:34.3
754,2.24,44:40.1
755,2.25,45:45.8
756,2.24,46:51.5
757,2.14,47:57.2
758,1.76,49:02.9
759,1.76,50:08.6
760,1.76,51:14.3
761,1.76,52:20.0
762,1.76,53:25.7
763,1.76,54:31.4
764,1.76,55:37.2
765,1.76,56:42.9
766,1.76,57:48.6
767,1.76,58:54.3
